                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.60761,                0.34355,                0.84847,                0.98209,                0.95704,                 0.9913,                0.87244,                0.53547,                0.32056,                0.82337,              0.0005546,              0.0005546,              0.0005546
                     76,                0.59549,                0.34058,                0.84863,                0.97753,                0.96181,                0.99096,                0.87208,                0.53426,                0.31521,                0.82365,              0.0005348,              0.0005348,              0.0005348
                     77,                0.59952,                0.33927,                0.84677,                0.97759,                0.96181,                0.99116,                 0.8704,                0.53538,                0.31513,                0.82295,               0.000515,               0.000515,               0.000515
                     78,                0.58767,                0.33454,                0.84538,                0.97669,                0.96181,                0.99129,                0.86884,                0.53114,                  0.317,                0.82103,              0.0004952,              0.0004952,              0.0004952
                     79,                0.59532,                0.33375,                0.84555,                0.98317,                0.95943,                 0.9918,                0.86539,                0.53851,                0.31144,                0.82317,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58422,                0.33269,                0.84502,                0.98056,                0.96308,                0.99048,                0.86675,                0.53376,                0.31311,                0.82153,              0.0004556,              0.0004556,              0.0004556
                     81,                0.59508,                0.33324,                0.84744,                0.98256,                 0.9642,                 0.9909,                0.86854,                0.54348,                0.30584,                0.82077,              0.0004358,              0.0004358,              0.0004358
                     82,                0.59486,                0.33288,                0.84648,                0.98432,                0.96181,                0.99194,                  0.865,                0.53493,                0.30657,                 0.8227,               0.000416,               0.000416,               0.000416
                     83,                0.58218,                0.33128,                0.84519,                0.98057,                0.96379,                0.99176,                0.87528,                0.52705,                0.30557,                0.81962,              0.0003962,              0.0003962,              0.0003962
                     84,                0.58019,                0.32624,                0.84083,                0.98278,                0.96181,                0.99113,                 0.8734,                0.52653,                0.30591,                0.82059,              0.0003764,              0.0003764,              0.0003764
                     85,                0.57265,                0.32229,                0.83853,                0.98117,                0.96181,                 0.9914,                0.87262,                0.53331,                0.30813,                0.82079,              0.0003566,              0.0003566,              0.0003566
                     86,                0.58095,                0.32462,                0.84191,                0.98292,                0.96121,                0.99083,                0.87358,                0.51843,                0.30542,                0.81805,              0.0003368,              0.0003368,              0.0003368
                     87,                0.58129,                  0.322,                0.84234,                0.98504,                0.96181,                0.99146,                0.87503,                0.51835,                0.30193,                0.81891,               0.000317,               0.000317,               0.000317
                     88,                0.56656,                0.31781,                0.84067,                0.98049,                 0.9642,                0.99092,                0.87551,                0.52504,                0.30091,                0.81896,              0.0002972,              0.0002972,              0.0002972
                     89,                0.57054,                0.31971,                0.84372,                0.97894,                0.96181,                0.99066,                0.87368,                0.52044,                0.30844,                 0.8182,              0.0002774,              0.0002774,              0.0002774
                     90,                0.57339,                 0.3161,                0.84266,                0.98669,                0.96181,                0.99171,                0.87604,                0.53049,                0.30467,                 0.8198,              0.0002576,              0.0002576,              0.0002576
                     91,                0.52583,                 0.2929,                0.81123,                 0.9853,                0.95465,                0.99181,                0.87328,                0.52855,                0.30281,                0.81931,              0.0002378,              0.0002378,              0.0002378
                     92,                0.52216,                0.29222,                0.81088,                0.98857,                0.95465,                0.99228,                0.87304,                0.53375,                0.29587,                0.81901,               0.000218,               0.000218,               0.000218
                     93,                0.51506,                0.28463,                0.81233,                0.98525,                0.96181,                0.99205,                0.87369,                0.52577,                0.29751,                0.81789,              0.0001982,              0.0001982,              0.0001982
                     94,                0.50947,                0.28337,                0.80986,                0.98975,                0.96181,                0.99203,                0.87833,                0.51895,                 0.2955,                0.81752,              0.0001784,              0.0001784,              0.0001784
                     95,                0.50706,                0.28302,                 0.8093,                 0.9917,                0.95943,                 0.9923,                0.87915,                0.52242,                0.29529,                 0.8185,              0.0001586,              0.0001586,              0.0001586
                     96,                0.50734,                0.27907,                0.81278,                0.98886,                0.95943,                0.99195,                0.87647,                0.52852,                0.29775,                0.81907,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.4992,                0.27818,                0.81075,                0.99208,                0.95943,                0.99208,                0.87801,                 0.5239,                0.29467,                0.81786,               0.000119,               0.000119,               0.000119
                     98,                0.49101,                0.27384,                0.80911,                0.99443,                0.95943,                0.99198,                0.87494,                0.52812,                0.29557,                0.81851,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.49277,                0.27094,                0.80948,                0.99248,                0.95943,                0.99219,                0.87595,                0.52424,                0.29428,                0.81768,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.49104,                 0.2721,                0.80646,                0.99259,                0.95864,                0.99232,                0.87815,                0.52299,                0.29173,                0.81726,               5.96e-05,               5.96e-05,               5.96e-05
